,date,author,twitter_name,text,number_of_likes,number_of_retweets
0,2022-10-09 19:18:42+00:00,Ondreas 🇵🇸✊🏿🫶🏾,F_l_U_o_C_v_K_e,"Ni el de la UNAL, ni el de la Javeriana, ni ninguno. https://t.co/yuKn431Us8",0,0
1,2022-10-09 19:14:41+00:00,Santiago Siosi,siosicrrp,"Sé que llegó tarde al chisme, pero apenas me doy por enterado y confirmo que a la gente la mueve la envidia. Viendo ese video de la Javeriana no encuentro esos outfits tan horribles de los que todos hablan, ninguno es de mi estilo, pero todos tienen ropa normal.",1,0
2,2022-10-09 19:13:21+00:00,Edison ,edisonFM_,@ElRoRodry A todos se les nota que son del team tonito rolo-tontin de los estudiantes de la Javeriana y el Externado. Los de la burbuja de chapinero hacia el norte,0,0
3,2022-10-09 19:12:31+00:00,Alex ☕️🎃,SirAlexMillos,Todo esto es culpa de la gente de la Javeriana. https://t.co/hQHfsKSNH3,1,0
4,2022-10-09 19:10:31+00:00,David Trujillo,TerapeutaDavidT,"@AngeMartinezT @UniJaveriana Lo lindo de la Javeriana es que tienes gente del estrato 1 al estrato 6, la diversidad es su centro... Sin duda es un lugar donde se puede pensar y ser diferente, incluyendo a la gente que le gusta gastar mucho dinero en ropa.",0,0
5,2022-10-09 19:10:17+00:00,Daniela Colmenares,Daniela55730278,"@UExternado Muy sobreactuado ese video, seguramente sino existiera el video de la javeriana esas no serían las respuestas 🤷🤷",0,0
6,2022-10-09 19:09:29+00:00,Sofff,sofocandose,"Ayer vi al man ese de la javeriana que pregunta sobre cuanto valen los outfits de la gente y mk ese niño para andar preguntando eso se viste horrible, parecía patico de colina con esos jeans doble capa rotos y desteñidos, quien le permite seguir con esos vídeos hvn",0,0
7,2022-10-09 19:09:06+00:00,Ramoscarg,ramoscarg,"@elReneJimenez Universidades ""fashionistas"" se dieron un tiro en el pie con el primer video de la javeriana (patético en un país pobre) y ahora otras universidades gomelas intentan ocultar pasarse por profundas siendo superficiales.",0,0
8,2022-10-09 19:08:02+00:00,Soundboard,soundboardlite,Este quedó peor que el de la javeriana fr https://t.co/XcnnswxFIY,1,0
9,2022-10-09 19:04:36+00:00,Gloria Isa ⁽⁽ଘ( ˊᵕˋ )ଓ⁾⁾ 🚵🏼‍♀️🚴,gloritaisa,"Los de la Javeriana y el Externado podrían hacer un vídeo de que opinan de la ropa de los migrantes que se encuentran pasando el tapón del Darién buscando el ""sueño.americano"".",0,0
10,2022-10-09 18:52:03+00:00,Bajo del Mar,Underthesea_12,"@UExternado 1. El de la Javeriana fue hecho por estudiantes. Lo publicaron estudiantes, no la institución.
2. Este lo publicó el Externado desde su cuenta oficial de Twitter.

....
No tengo nada más que decir",0,0
11,2022-10-09 18:50:42+00:00,grlie 🪩,aquariusgroupie,"El externado esto, la Javeriana aquello, pero nadie me muestra el tal video que da cringe.",0,0
12,2022-10-09 18:47:57+00:00,andres kintero,andres_kintero1,@GonoPiruco Yo estudie en la javeriana y lo mio era fue será facol jajajajajajjajajajajaja 🤣🤣🤣🤣,1,0
13,2022-10-09 18:46:58+00:00,bigger than caro lvs val 🇨🇴🎃,tommolvs28,esos outfits tan caros de los gomelos en los videos de la javeriana e igual se ven todos iguales,0,0
14,2022-10-09 18:46:04+00:00,Luchino,luchomontes2909,@Lorisienta_ @FueledByChangua Y de la javeriana???,0,0
15,2022-10-09 18:40:56+00:00,pandora,pandoracamelia,"@AnaMaCH13 @____Exsociologo @UExternado También opino lo mismo, estudié en el externado y javeriana y la gente en la javeriana me pareció amable, cosa que del externado no puedo decir.",0,0
16,2022-10-09 18:40:47+00:00,Giancarlo Arias,GiancoArias,"Creo que se dan la mano en estupidez.

Qué fastidio ambos videos con la diferencia que lo de la Javeriana lo hicieron unos pelados bobos, en el Externado lo hacen directamente desde la institución. 🤦‍♂️ https://t.co/F5E0TuH4sf",0,0
17,2022-10-09 18:38:34+00:00,pandora,pandoracamelia,"@RoiDamian @UExternado Estudié en las dos universidades y la gente del externado si la note que tienen a ser más superficiales, solo apareciencias,  en la javeriana por el contrario gente con mucha plata pero para nada te hacían sentir menos.",0,0
18,2022-10-09 18:38:29+00:00,Casiope1597,casiope1597,"@RicciuP @Mengaana Es cierto, el de la javeriana se caía por su propio peso. Que necesidad?",0,0
19,2022-10-09 18:34:49+00:00,Tiago,Tiagonejo,"Externado VS Javeriana, una pelea que no imaginabamos necesitar.",0,0
20,2022-10-09 18:34:00+00:00,Luisa,luisaciro,"@TeusaquiyorkerL @Feloarias Es que varía mucho por carrera, tienen rangos muy amplios. Lo de la mitad respecto a la Javeriana sólo es cierto en Antropología, de resto tienen Finanzas y/o Relaciones internacionales en más de 13 millones el semestre.",0,0
21,2022-10-09 18:31:59+00:00,💛,mataderuda,"Los de la Externado viendo que a la gente le dió más cringe su video que el de los gomelos de la Javeriana. 

""Ja, ja, no debí hacer eso"" https://t.co/k6n3fbWunC",3,0
22,2022-10-09 18:30:00+00:00,Pesquisa Javeriana,PesquisaPUJ,"#Perfil Aunque se formó profesionalmente como literato, la diversidad de los intereses de Daniel Alejandro Castelblanco parecen no tener límite. La literatura indígena, el tema que lo apasiona y que le permitió ser becado como Joven Investigador en 2012. 
https://t.co/bAsF5j2xVZ https://t.co/K9mNTz2LfK",0,0
23,2022-10-09 18:26:10+00:00,Scarlov,Scarlov87,"Te amo gatita del 2018 en Javeriana que llegó al sótano, y que por mucho tiempo compartimos comidita y agua mientras encontrabas una casa :) (y la encontró) https://t.co/oCLwuRdhoT",1,0
24,2022-10-09 18:22:18+00:00,Clara Unigarro,Lillygumy,"Y fuera de lo jocoso, nadie se detiene a mirar qué hace la Javeriana más allá de un Tiktok, pero sí corren a sentirse superiores en otras universidades por un vídeo. Cómo vistamos no nos quita ni la excelencia académica ni el trabajo social que hacemos.",2,1
25,2022-10-09 18:20:39+00:00,mateo,gnossiophobia,me tienen los testículos podridos ya con los tweets hablando de los gomelos de la javeriana y sus videos derivados podemos por favor aprender a SOLTAR esta es la descripción gráfica de lo q le haré al próximo q vea twitteando sobre el tema https://t.co/o0lHN27ixW,1,0
